address,name,online_order,book_table,rate,votes,location,rest_type,cuisines,dish_liked,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
"931, 2nd Stage, 4th Cross Road, BTM",Nellore Dosa Camp,No,No,3.3,5,BTM,Quick Bites,Andhra,,70,,Dine-out,BTM
"115, 100 Feet Ring Road, Kathriguppe, Banashankari, Bangalore",Taaza Thindi,No,No,4.7,651,Banashankari,Quick Bites,South Indian,"Masala Dosa, Vada, Upma, Filter Coffee, Kesari Bath, Idli Chutney, Kharabath",100,,Dine-out,Banashankari
"187, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",Sri Laxmi Venkateshwara Coffee Bar,No,No,4.4,343,Banashankari,Quick Bites,South Indian,"Masala Dosa, Idli Chutney, Kharabath, Filter Coffee, Kesari Bath, Idli Vada, Maddur Vada",100,,Dine-out,Banashankari
"1st Main Road, Near Katte Balaga, NR Colony, Basavanagudi, Bangalore",South Kitchen,Yes,No,4.3,275,Basavanagudi,Quick Bites,South Indian,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",100,"['Idli [2 Pieces]', 'Vada [2 Pieces]', 'Savige Bhath', 'Avalakki Bhath', 'Upittu', 'Idli [2 Pieces]', 'Vada [2 Pieces]', 'Kara Bhath', 'Sweet Bhath', 'Navane Bhath', 'Savige Bhath', 'Avalakki Bhath', 'Upittu', 'Jamoon [2 Pieces]']",Delivery,Banashankari
"Fairmont Towers, Next to ITC Infotech, Dodda-Banaswadi Main Road, Frazer Town, Bangalore",The Sugar Fairy,No,No,4.3,241,Frazer Town,Bakery,Bakery,"Cup Cake, Chocolate Truffle, Brownie, Cake Pops, Cheesecake",100,,Delivery,Frazer Town
"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore",Puliyogare Point,Yes,No,4.2,444,Basavanagudi,Quick Bites,South Indian,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",100,"['Puliyogare', 'Sakkar Pongal', '2 Idli', 'Vada', 'Saijige', 'Medu Dosa', 'Ragi Dosa', 'Mini Idli Sambar', 'Pongal', 'Curd', 'Puliyogare', 'Sakkar Pongal']",Delivery,Banashankari
"81, East Anjaneya Street, NR Colony, Near Basavanagudi, Basavanagudi, Bangalore",Puliyogare Point,Yes,No,4.2,444,Basavanagudi,Quick Bites,South Indian,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",100,"['Puliyogare', 'Sakkar Pongal', 'Bisi Bele Bath', 'Curd Rice', 'Maddur Vada', '2 Idli', 'Saijige', 'Mini Idli Sambar', 'Pongal', 'Curd', 'Gasa Gase Payasa', 'Godhitari Sakkar Pongal', 'Coconut Othu Shavige', 'Puliyogare', 'Sakkar Pongal', 'Bisi Bele Bath', 'Curd Rice', '2 Ambode', 'Lemon Rice', 'Veg Palav', 'Mini Meals', '3 Chapati', 'Curd Vada', 'Maddur Vada', 'Mix Kaalu Usli', 'Bonda Rasam', 'Nuchhin Unde']",Dine-out,Banashankari
"6, 2nd Main, 3rd Cross, Chamrajpet, Basavanagudi, Bangalore",Karnataka Bhel House,Yes,No,4.1,449,Basavanagudi,Quick Bites,Street Food,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",100,,Delivery,Banashankari
"130, 3rd main, 4th Cross, Hanumanthanagar, Banashankari, Bangalore",SLV Refreshment,No,No,4.1,94,Banashankari,Quick Bites,South Indian,"Coffee, Masala Dosa, Kharabath, Idli Vada, Kesari Bath",100,,Dine-out,Banashankari
"53/1, 3rd Main Road, Dr. Vivekananda Layout, Santrupthi Nagar, 7th Phase, JP Nagar, Bangalore",Dakshin Cafe,Yes,No,4.1,140,JP Nagar,Quick Bites,South Indian,"Vada, Masala Dosa, Filter Coffee, Kesari Bath, Kharabath, Open Dosa",100,,Delivery,Bannerghatta Road
"118,13th Main, 29th Cross, 4th Block, Jayanagar, Bangalore",Davangere Benna Dose Hotel,Yes,No,4.1,90,Jayanagar,Quick Bites,South Indian,"Benne Dosa, Idli, Coffee",100,,Delivery,BTM
"#E 117/4, 22nd cross road, 3rd sector, hsr layout, Bangalore",Shiv Shakthi,Yes,No,4,175,HSR,Quick Bites,Street Food,"Poha, Samosa, Jalebi, Kachori",100,,Delivery,BTM
"Near McDonald's, 4th Block, Jayanagar, Bangalore",SL Vadapav,Yes,No,4,79,Jayanagar,Quick Bites,Maharashtrian,"Dabeli, Samosa, Tawa Pulav, Cheese Vada Pav",100,,Delivery,BTM
"466, G 80 Feet Main Road ,Opposite koramangala Bus Depo, Koramangala 6th Block, Bangalore",Indore Eat Restaurant,No,No,4,72,Koramangala 6th Block,Quick Bites,Street Food,"Poha, Kachori, Samosa, Sabudana Khichdi, Paratha",100,,Delivery,BTM
"#E 117/4, 22nd cross road, 3rd sector, hsr layout, Bangalore",Shiv Shakthi,Yes,No,4,176,HSR,Quick Bites,Street Food,"Poha, Samosa, Jalebi, Kachori",100,,Delivery,HSR
"1, 1634, 22nd Cross, 26th Main, Sector 2, HSR, Bangalore",Mumbai Kulfi,Yes,No,4,92,HSR,Dessert Parlor,Ice Cream,"Calcutta Paan, Malai Kulfi, Tender Coconut Kulfi, Kesar Pista Kulfi, Mango Kulfi",100,,Delivery,HSR
"4, Sundar Mudaliar Street, Ulsoor, Bangalore",Maaheshwari Chaat Wala,No,No,3.9,27,Ulsoor,Quick Bites,Street Food,,100,,Dine-out,Brigade Road
"45/2, Sunkalpet Main Road, City Market, Bangalore",SLN Lunch Home,No,No,3.9,26,City Market,Quick Bites,South Indian,,100,,Dine-out,Brigade Road
"24, Shop 2, Ground Floor, 3rd B Cross Road, 18th Main Road, Roopa Nagar, 2nd stage BTM, Bangalore",Hari Super Sandwich,Yes,No,3.9,15,BTM,Quick Bites,Sandwich,,100,,Delivery,BTM
